序号,论文标题,相关链接,论文编号,被引次数
55,FAST: A New Sampling-Based Algorithm for Discovering Association Rules.,"<a href=""https://doi.org/10.1109/ICDE.2002.994717""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDE.2002.994717,1
56,How Good Are Association-Rule Mining Algorithms?,"<a href=""https://doi.org/10.1109/ICDE.2002.994730""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDE.2002.994730,1
57,Predator-Miner: Ad hoc Mining of Associations Rules within a Database Management System.,"<a href=""https://doi.org/10.1109/ICDE.2002.994741""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDE.2002.994741,0
58,Investigative Profiling with Computer Forensic Log Data and Association Rules.,"<a href=""https://doi.org/10.1109/ICDM.2002.1183880""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2002.1183880,19
59,Mining General Temporal Association Rules for Items with Different Exhibition Periods.,"<a href=""https://doi.org/10.1109/ICDM.2002.1183886""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2002.1183886,26
60,Generating an informative cover for association rules.,"<a href=""https://doi.org/10.1109/ICDM.2002.1184007""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2002.1184007,13
61,Discovery of Interesting Association Rules from Livelink Web Log Data.,"<a href=""https://doi.org/10.1109/ICDM.2002.1184048""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2002.1184048,2
62,Mining Generalized Association Rules Using Pruning Techniques.,"<a href=""https://doi.org/10.1109/ICDM.2002.1183907""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2002.1183907,2
63,Mining Association Rules from Stars.,"<a href=""https://doi.org/10.1109/ICDM.2002.1183919""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2002.1183919,3
64,Efficient Progressive Sampling for Association Rules.,"<a href=""https://doi.org/10.1109/ICDM.2002.1183923""><img alt="""" class=""icon"" itemprop=""image"" src=""https://dblp.org/img/paper.dark.hollow.16x16.png""/></a>",10.1109/ICDM.2002.1183923,30
